"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"POST /auth/login debe devolver status 200 y un token","157","Login exitoso de usuario","Suite API Books","Wed Sep 24 02:30:07 GMT 2025","passed","Wed Sep 24 02:30:08 GMT 2025","APITests.AuthTest","PruebasDummyJson","APITests.AuthTest","testLoginSuccess"
"POST /auth/login con credenciales inválidas debe dar 400","148","Login inválido","Suite API Books","Wed Sep 24 02:30:07 GMT 2025","passed","Wed Sep 24 02:30:07 GMT 2025","APITests.AuthTest","PruebasDummyJson","APITests.AuthTest","testLoginFail"
"GET /users/1 debe cumplir el contrato users-schema.json","786","Validar schema de respuesta para un usuario","Suite API Books","Wed Sep 24 02:30:07 GMT 2025","passed","Wed Sep 24 02:30:07 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","validateUserSchema"
"POST /users/add crea un usuario y lo retorna con ID","2332","Crear un nuevo usuario","Suite API Books","Wed Sep 24 02:30:03 GMT 2025","passed","Wed Sep 24 02:30:05 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testCreateUser"
"GET /users?limit=5&skip=10 devuelve 5 usuarios, desde el #11","193","Obtener usuarios paginados (limit/skip)","Suite API Books","Wed Sep 24 02:30:06 GMT 2025","passed","Wed Sep 24 02:30:06 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testGetUsersWithPagination"
"DELETE /users/{id} elimina el usuario y responde con el usuario eliminado","206","Eliminar un usuario","Suite API Books","Wed Sep 24 02:30:05 GMT 2025","passed","Wed Sep 24 02:30:06 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testDeleteUser"
"GET /users devuelve una lista de usuarios","275","Obtener todos los usuarios","Suite API Books","Wed Sep 24 02:30:06 GMT 2025","passed","Wed Sep 24 02:30:06 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testGetAllUsers"
"PUT /users/{id} modifica los datos del usuario, deberia devolver 204 peor siempre devuelve 200","166","Actualizar datos de un usuario","Suite API Books","Wed Sep 24 02:30:06 GMT 2025","passed","Wed Sep 24 02:30:07 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testUpdateUser"
"GET /users/search?q=John devuelve 3 usuarios relacionados","195","Buscar usuarios con 'John' en el nombre o apellido","Suite API Books","Wed Sep 24 02:30:06 GMT 2025","passed","Wed Sep 24 02:30:06 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testSearchUsersJohn"
"GET /users/{id} devuelve el usuario correcto","157","Obtener usuario por ID","Suite API Books","Wed Sep 24 02:30:06 GMT 2025","passed","Wed Sep 24 02:30:06 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testGetUserById"
