"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"POST /auth/login con credenciales inválidas debe dar 400","62","Login inválido","Suite API Books","Wed Oct 08 02:29:26 GMT 2025","passed","Wed Oct 08 02:29:26 GMT 2025","APITests.AuthTest","PruebasDummyJson","APITests.AuthTest","testLoginFail"
"GET /users?limit=5&skip=10 devuelve 5 usuarios, desde el #11","112","Obtener usuarios paginados (limit/skip)","Suite API Books","Wed Oct 08 02:29:25 GMT 2025","passed","Wed Oct 08 02:29:25 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testGetUsersWithPagination"
"GET /users/search?q=John devuelve 3 usuarios relacionados","133","Buscar usuarios con 'John' en el nombre o apellido","Suite API Books","Wed Oct 08 02:29:25 GMT 2025","passed","Wed Oct 08 02:29:26 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testSearchUsersJohn"
"DELETE /users/{id} elimina el usuario y responde con el usuario eliminado","125","Eliminar un usuario","Suite API Books","Wed Oct 08 02:29:25 GMT 2025","passed","Wed Oct 08 02:29:25 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testDeleteUser"
"GET /users/1 debe cumplir el contrato users-schema.json","651","Validar schema de respuesta para un usuario","Suite API Books","Wed Oct 08 02:29:26 GMT 2025","passed","Wed Oct 08 02:29:26 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","validateUserSchema"
"GET /users/{id} devuelve el usuario correcto","88","Obtener usuario por ID","Suite API Books","Wed Oct 08 02:29:25 GMT 2025","passed","Wed Oct 08 02:29:25 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testGetUserById"
"GET /users devuelve una lista de usuarios","243","Obtener todos los usuarios","Suite API Books","Wed Oct 08 02:29:25 GMT 2025","passed","Wed Oct 08 02:29:25 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testGetAllUsers"
"POST /users/add crea un usuario y lo retorna con ID","2190","Crear un nuevo usuario","Suite API Books","Wed Oct 08 02:29:23 GMT 2025","passed","Wed Oct 08 02:29:25 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testCreateUser"
"PUT /users/{id} modifica los datos del usuario, deberia devolver 204 peor siempre devuelve 200","90","Actualizar datos de un usuario","Suite API Books","Wed Oct 08 02:29:26 GMT 2025","passed","Wed Oct 08 02:29:26 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testUpdateUser"
"POST /auth/login debe devolver status 200 y un token","56","Login exitoso de usuario","Suite API Books","Wed Oct 08 02:29:26 GMT 2025","passed","Wed Oct 08 02:29:26 GMT 2025","APITests.AuthTest","PruebasDummyJson","APITests.AuthTest","testLoginSuccess"
