"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"GET /users?limit=5&skip=10 devuelve 5 usuarios, desde el #11","182","Obtener usuarios paginados (limit/skip)","Suite API Books","Fri Oct 24 02:30:39 GMT 2025","passed","Fri Oct 24 02:30:39 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testGetUsersWithPagination"
"POST /users/add crea un usuario y lo retorna con ID","2447","Crear un nuevo usuario","Suite API Books","Fri Oct 24 02:30:35 GMT 2025","passed","Fri Oct 24 02:30:38 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testCreateUser"
"PUT /users/{id} modifica los datos del usuario, deberia devolver 204 peor siempre devuelve 200","160","Actualizar datos de un usuario","Suite API Books","Fri Oct 24 02:30:39 GMT 2025","passed","Fri Oct 24 02:30:39 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testUpdateUser"
"POST /auth/login debe devolver status 200 y un token","160","Login exitoso de usuario","Suite API Books","Fri Oct 24 02:30:40 GMT 2025","passed","Fri Oct 24 02:30:40 GMT 2025","APITests.AuthTest","PruebasDummyJson","APITests.AuthTest","testLoginSuccess"
"DELETE /users/{id} elimina el usuario y responde con el usuario eliminado","206","Eliminar un usuario","Suite API Books","Fri Oct 24 02:30:38 GMT 2025","passed","Fri Oct 24 02:30:38 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testDeleteUser"
"GET /users/1 debe cumplir el contrato users-schema.json","713","Validar schema de respuesta para un usuario","Suite API Books","Fri Oct 24 02:30:39 GMT 2025","passed","Fri Oct 24 02:30:40 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","validateUserSchema"
"GET /users devuelve una lista de usuarios","246","Obtener todos los usuarios","Suite API Books","Fri Oct 24 02:30:38 GMT 2025","passed","Fri Oct 24 02:30:38 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testGetAllUsers"
"POST /auth/login con credenciales inválidas debe dar 400","130","Login inválido","Suite API Books","Fri Oct 24 02:30:40 GMT 2025","passed","Fri Oct 24 02:30:40 GMT 2025","APITests.AuthTest","PruebasDummyJson","APITests.AuthTest","testLoginFail"
"GET /users/search?q=John devuelve 3 usuarios relacionados","171","Buscar usuarios con 'John' en el nombre o apellido","Suite API Books","Fri Oct 24 02:30:39 GMT 2025","passed","Fri Oct 24 02:30:39 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testSearchUsersJohn"
"GET /users/{id} devuelve el usuario correcto","164","Obtener usuario por ID","Suite API Books","Fri Oct 24 02:30:38 GMT 2025","passed","Fri Oct 24 02:30:39 GMT 2025","APITests.UsersTest","PruebasDummyJson","APITests.UsersTest","testGetUserById"
